year	month	area_this_epoch	area_next_epoch
d	d	d	d
1999	4	NWE	NWE
1999	6	NWE	NWE
1999	7	SWE	SWE
1999	9	SWE	SWE
1999	2	SWE	SWE
1999	4	ALB	ALB
1999	6	ALB	ALB
1999	7	ALB	ALB
1999	9	ALB	ALB
1999	7	SWE	SWE
1999	9	NWE	SWE
1999	11	NWE	SWE
1999	2	SWE	NWE
1999	2	NWE	SWE
1999	4	SWE	SWE
1999	6	SWE	SWE
1999	7	SWE	SWE
1999	9	SWE	SWE
1999	6	TYR	TYR
1999	7	TYR	TYR
1999	9	TYR	TYR
1999	11	TYR	TYR
1999	2	NWE	SWE
1999	4	SWE	SWE
1999	9	NWE	NWE
1999	11	NWE	NWE
1999	4	NWE	NWE
1999	2	SWE	SWE
1999	4	SWE	SWE
1999	6	SWE	SWE
1999	7	NWE	NWE
1999	9	SWE	TYR
1999	11	TYR	TYR
1999	2	SWE	SWE
1999	4	SWE	SWE
1999	2	NWE	NWE
1999	4	NWE	SWE
1999	2	NWE	NWE
1999	2	SWE	SWE
1999	4	SWE	TYR
1999	2	SWE	SWE
1999	4	SWE	SWE
1999	6	TYR	CEN
1999	2	NWE	SWE
1999	4	SWE	SWE
1999	6	SWE	SWE
1999	11	CEN	CEN
1999	2	NWE	SWE
1999	2	NWE	NWE
