supp	conf	cove	year	month	area_this_epoch	lonm_this_epoch	latm_this_epoch	area_next_epoch	lonm_next_epoch	latm_next_epoch
0.000027	0.028777	0.000951	1999	6	CEN	-2.555600	36.178800	ION	4.799800	38.025700
0.000055	0.057554	0.000951	1999	6	CEN	-2.555600	36.178800	SLE	28.656000	33.044300
0.000082	0.255319	0.000321	1999	6	ION	-2.555600	36.178800	CEN	28.656000	33.044300
0.000239	0.744681	0.000321	1999	6	ION	-2.555600	36.178800	ION	28.656000	33.044300
0.000007	0.023810	0.000287	1999	6	NLE	31.774200	35.347200	AEG	25.031300	37.882500
0.000007	0.023810	0.000287	1999	6	NLE	31.774200	35.347200	CEN	25.031300	37.882500
0.000178	0.619048	0.000287	1999	6	NLE	31.774200	35.347200	NLE	31.774200	35.347200
0.000096	0.333333	0.000287	1999	6	NLE	31.774200	35.347200	SLE	28.656000	33.044300
0.000410	0.869565	0.000472	1999	6	NWE	31.774200	35.347200	NWE	28.656000	33.044300
0.000055	0.115942	0.000472	1999	6	NWE	31.774200	35.347200	SWE	4.799800	38.025700
0.000007	0.014493	0.000472	1999	6	NWE	31.774200	35.347200	TYR	4.799800	38.025700
0.000007	0.009901	0.000691	1999	6	SLE	28.656000	33.044300	CEN	4.799800	38.025700
0.000068	0.099010	0.000691	1999	6	SLE	28.656000	33.044300	NLE	31.774200	35.347200
0.000616	0.891089	0.000691	1999	6	SLE	28.656000	33.044300	SLE	28.656000	33.044300
0.000007	0.014925	0.000458	1999	6	SWE	4.799800	38.025700	ALB	-2.555600	36.178800
0.000096	0.208955	0.000458	1999	6	SWE	4.799800	38.025700	NWE	-2.555600	36.178800
0.000308	0.671642	0.000458	1999	6	SWE	4.799800	38.025700	SWE	4.799800	38.025700
0.000048	0.104478	0.000458	1999	6	SWE	4.799800	38.025700	TYR	4.799800	38.025700
0.000055	0.115942	0.000472	1999	6	TYR	4.799800	38.025700	CEN	4.799800	38.025700
0.000021	0.043478	0.000472	1999	6	TYR	4.799800	38.025700	NWE	4.799800	38.025700
0.000007	0.014493	0.000472	1999	6	TYR	4.799800	38.025700	SWE	4.799800	38.025700
0.000390	0.826087	0.000472	1999	6	TYR	4.799800	38.025700	TYR	4.799800	38.025700
0.000342	0.961538	0.000356	1999	7	ADR	15.921000	42.786200	ADR	15.921000	42.786200
0.000014	0.038462	0.000356	1999	7	ADR	15.921000	42.786200	ION	15.921000	42.786200
0.000267	0.812500	0.000328	1999	7	AEG	25.031300	37.882500	AEG	25.031300	37.882500
0.000021	0.062500	0.000328	1999	7	AEG	25.031300	37.882500	CEN	25.031300	37.882500
0.000034	0.104167	0.000328	1999	7	AEG	25.031300	37.882500	ION	25.031300	37.882500
0.000007	0.020833	0.000328	1999	7	AEG	25.031300	37.882500	SLE	28.656000	33.044300
0.000062	0.692308	0.000089	1999	7	ALB	-2.555600	36.178800	ALB	-2.555600	36.178800
0.000007	0.076923	0.000089	1999	7	ALB	-2.555600	36.178800	NWE	-2.555600	36.178800
0.000021	0.230769	0.000089	1999	7	ALB	-2.555600	36.178800	SWE	4.799800	38.025700
0.001327	0.906542	0.001464	1999	7	CEN	-2.555600	36.178800	CEN	4.799800	38.025700
0.000055	0.037383	0.001464	1999	7	CEN	-2.555600	36.178800	ION	4.799800	38.025700
0.000082	0.056075	0.001464	1999	7	CEN	-2.555600	36.178800	SLE	28.656000	33.044300
0.000007	0.014493	0.000472	1999	7	ION	-2.555600	36.178800	ADR	15.921000	42.786200
0.000164	0.347826	0.000472	1999	7	ION	-2.555600	36.178800	CEN	15.921000	42.786200
0.000301	0.637681	0.000472	1999	7	ION	-2.555600	36.178800	ION	15.921000	42.786200
0.000014	0.036364	0.000376	1999	7	NLE	31.774200	35.347200	CEN	15.921000	42.786200
0.000212	0.563636	0.000376	1999	7	NLE	31.774200	35.347200	NLE	31.774200	35.347200
0.000150	0.400000	0.000376	1999	7	NLE	31.774200	35.347200	SLE	28.656000	33.044300
0.000732	0.842520	0.000869	1999	7	NWE	31.774200	35.347200	NWE	28.656000	33.044300
0.000109	0.125984	0.000869	1999	7	NWE	31.774200	35.347200	SWE	4.799800	38.025700
0.000027	0.031496	0.000869	1999	7	NWE	31.774200	35.347200	TYR	4.799800	38.025700
0.000014	0.013793	0.000992	1999	7	SLE	28.656000	33.044300	CEN	4.799800	38.025700
